sore	Bigram(@_head)	315.958383698422	6.56985052172349
sad	-Bigram(Im_@)	313.538890855676	1.54413082193532
miss	-Bigram(imma_@)	311.496997938123	9.84345375570794
horrible	Bigram(@_headache)	311.232926347966	0.115473200282553
headache	-Bigram(horrible_@)	309.653307965426	0.114850722475202
worse	-Bigram(gets_@)	309.409407953174	14.872638210136
redundant	-Bigram(made_@)	309.23090715201	0.197439166774886
died	-Bigram(fish_@)	308.8790348384022	0
lag	-Bigram(jet_@)	307.10186739944	175.273281806085
sad	-Bigram(...so_@)	306.907793557491	0.357544335300168
sucks	Bigram(@_big)	303.700938187266	1.11175728268667
hurt	-Bigram(ears_@)	303.56639441163	0
broken	Bigram(@_hearted)	303.55980065981174	0
shit	-Bigram(holy_@)	301.226258134316	143.12250376534
died	-Bigram(dog_@)	300.74799253363	0.0833081389151017
miss	Bigram(@_youu)	300.107652775757	10.5783062016421
boring	-Bigram(most_@)	297.650876336965	15.6537310282452
died	-Bigram(Fawcett_@)	296.23019768940196	0
poor	Bigram(@_kids)	295.98692481191	0.046279987690758
died	-Bigram(McMahon_@)	294.65985495220946	0
hurts	-Bigram(eye_@)	294.241276854329	0.442870114561698
emergency	Bigram(@_vet)	292.7858945350986	0
stole	-Bigram(Someone_@)	292.507135746287	0.921140679874237
infection	-Bigram(throat_@)	288.55738068277094	0
losing	-Bigram(keep_@)	283.631650191857	2.67194700345019
hurts	-Bigram(tooth_@)	283.093968420542	0.17637821553749
died	-Bigram(battery_@)	280.297141700886	7.46350310037695
hurts	-Bigram(belly_@)	279.678900259432	0.728976394195961
dim	Bigram(@_sum)	279.587068230023	71.8261213071391
miss	-Bigram(ill_@)	279.368890479291	3.82113677838912
bad	-Bigram(felt_@)	277.0096761756	19.8465279393816
scary	Bigram(@_movies)	273.489213081111	73.0584614109106
sad	-Bigram(pretty_@)	273.25191969442403	0
infection	-Bigram(kidney_@)	271.407476481209	0.543605222599654
hurts	-Bigram(chest_@)	270.542078470258	1.87306463157126
lost	-Bigram(ive_@)	270.386238738227	2.13549019425584
sucked	-Bigram(Code_@)	268.78782264934847	0
bad	-Bigram(sooooo_@)	267.873542407871	1.06482335190665
fucking	Bigram(@_hate)	267.859265856362	0.953746188339762
depressing	-Bigram(most_@)	266.851078466837	0.527035765262596
crap	-Bigram(Oh_@)	265.875791841299	2.68901322305217
sad	-Bigram(quite_@)	265.665450296331	5.78706280041047
upset	Bigram(@_stomach)	265.3061430759787	0
lost	-Bigram(team_@)	264.776613422585	1.32280897973377
hurts	-Bigram(ear_@)	263.383792806672	0.652127318975331
cold	-Bigram(head_@)	262.736998311579	0.341673738265488
pains	-Bigram(chest_@)	262.520360914647	3.80926235171883
tired	-Bigram(Soooo_@)	262.502020516245	22.4161899022223
gloom	-Bigram(June_@)	261.813065238338	48.3213263224396
bad	Bigram(@_cold)	261.65246875802	1.42213783180611
unavailable	-Bigram(temporarily_@)	261.562266186481	0.743038907746751
lonely	Bigram(@_keep)	260.0802438417434	0
sad	Bigram(@_movie)	259.37265487595045	0
hate	-Bigram(...i_@)	257.438760870913	3.54054628001025
sucks	-Bigram(Life_@)	257.064163171893	0.92229460990689
delayed	-Bigram(Flight_@)	256.823655619102	0.405838628120295
wrong	-Bigram(went_@)	256.376081110428	14.2437257367314
hate	Bigram(@_living)	255.521126956363	0.0426032398020416
attack	-Bigram(asthma_@)	255.273246790717	2.06104587441629
dead	Bigram(@_tired)	255.104726375486	28.023789885632
fault	-Bigram(own_@)	254.02104579737932	0
tired	-Bigram(dead_@)	253.705870363977	27.8837734810895
suicide	-Bigram(commit_@)	253.519263425352	2.77370165203061
stinks	-Bigram(That_@)	253.464998867322	1.37448142526814
sucks	Bigram(@_balls)	252.337630745671	1.54535832424753
horrible	Bigram(@_dream)	252.18415844654	1.27674579319579
damn	-Bigram(God_@)	251.588731450871	3.35664420853721
miss	Bigram(@_talking)	251.120554367562	8.69020715814549
sore	Bigram(@_throats)	251.004308231803	4.08603236352991
